obs_freq,maturity_years,expected_expiry_years_lv,expected_expiry_years_lsv,obs_tenor_months,expected_expiry_diff_years,expected_expiry_diff_months
monthly,0.25,0.1342395424699565,0.13596698842628,1,0.0017274459563234867,0.02072935147588184
monthly,0.5,0.1729887665242511,0.181689126026269,1,0.00870035950201789,0.10440431402421468
monthly,0.75,0.1976723317947458,0.2139010086317612,1,0.0162286768370154,0.1947441220441848
monthly,1.0,0.216842666161463,0.2395814413009615,1,0.022738775139498513,0.27286530167398215
monthly,1.25,0.2330035178942333,0.2614295895918605,1,0.02842607169762723,0.34111286037152677
monthly,1.5,0.2473425270258309,0.2806973336402132,1,0.03335480661438231,0.4002576793725877
monthly,1.75,0.2603571553468211,0.2980142668577142,1,0.037657111510893126,0.4518853381307175
monthly,2.0,0.2723518481625962,0.3137387094570339,1,0.04138686129443769,0.4966423355332523
quarterly,0.25,0.25,0.25,3,0.0,0.0
quarterly,0.5,0.3401699899404001,0.3365915075079428,3,-0.003578482432457286,-0.042941789189487434
quarterly,0.75,0.3948984443777668,0.3944508012236016,3,-0.0004476431541651782,-0.005371717849982138
quarterly,1.0,0.4355543045706851,0.4395883764092581,3,0.004034071838572961,0.048408862062875535
quarterly,1.25,0.4688080099907028,0.477239875113485,3,0.008431865122782156,0.10118238147338587
quarterly,1.5,0.4977343528434915,0.5103673034192855,3,0.012632950575794,0.151595406909528
quarterly,1.75,0.5236060971170788,0.5402179482268499,3,0.016611851109771036,0.19934221331725244
quarterly,2.0,0.5471908952527609,0.5673192433960991,3,0.020128348143338193,0.2415401777200583
